lon,lat,cat
-8.6216222,41.1436974,information
-8.624348,41.147436,museum
-8.6221022,41.1444305,viewpoint
-8.6238559,41.1492726,artwork
-8.615948,41.1483368,information
-8.6167368,41.143133,guest_house
-8.6172129,41.1440558,guest_house
-8.6173978,41.1444351,information
-8.6168595,41.1446197,hostel
-8.6175553,41.1450155,artwork
-8.6176449,41.1452011,artwork
-8.6176505,41.145227,artwork
-8.6176595,41.145264,artwork
-8.617666,41.1452918,artwork
-8.6265971,41.1471916,artwork
-8.6265408,41.1470846,artwork
-8.6167013,41.1460462,picnic_site
-8.6164742,41.1460947,picnic_site
-8.6162887,41.1459747,information
-8.6155473,41.1489939,museum
-8.6149938,41.1465877,attraction
-8.6149114,41.146817,information
-8.6144983,41.1468584,information
-8.6142871,41.1471543,guest_house
-8.6157208,41.145264,attraction
-8.6251339,41.1457293,viewpoint
-8.6158377,41.1461457,museum
-8.6149018,41.1496283,hostel
-8.614872,41.1479526,artwork
-8.6135634,41.1504305,guest_house
-8.6258756,41.1457242,viewpoint
-8.6267351,41.1478359,artwork
-8.6145271,41.1456849,museum
-8.6141128,41.1450943,apartment
-8.6139917,41.1469452,information
-8.6129365,41.1473577,guest_house
-8.6125636,41.1473355,guest_house
-8.6157657,41.1431234,viewpoint
-8.6155719,41.1431255,artwork
-8.6154907,41.143169,information
-8.6154847,41.143177,artwork
-8.6155413,41.1432117,information
-8.6159061,41.1433754,information
-8.616007,41.1434259,artwork
-8.6159569,41.1434264,information
-8.6157507,41.1440151,information
-8.615892,41.1447171,museum
-8.6158904,41.1447906,information
-8.6182373,41.1413937,information
-8.6176187,41.1421882,information
-8.6259533,41.1455748,viewpoint
-8.6261156,41.1457111,viewpoint
-8.6266732,41.1459038,viewpoint
-8.6131445,41.148357,artwork
-8.6126007,41.1501917,artwork
-8.6122088,41.1486977,guest_house
-8.6275063,41.1461615,viewpoint
-8.627324,41.1466897,viewpoint
-8.6278765,41.1461383,viewpoint
-8.6278993,41.146411,viewpoint
-8.6279194,41.1466281,viewpoint
-8.6266011,41.1457313,viewpoint
-8.6263382,41.1455465,viewpoint
-8.6279999,41.146212,viewpoint
-8.6280388,41.1467665,viewpoint
-8.628024,41.1465322,viewpoint
-8.6292952,41.1485947,viewpoint
-8.6157375,41.1426279,hostel
-8.6151902,41.1427371,information
-8.6154369,41.1427487,information
-8.6154633,41.1428064,information
-8.6155995,41.1429675,information
-8.6273722,41.1455566,viewpoint
-8.62858,41.146989,viewpoint
-8.6284871,41.1471659,viewpoint
-8.6129922,41.1442168,hostel
-8.6117676,41.1468482,information
-8.6117671,41.1468511,information
-8.6116039,41.1470557,information
-8.6116035,41.1470577,information
-8.6114479,41.147778,information
-8.6112533,41.1471471,artwork
-8.6125013,41.1445302,attraction
-8.6123651,41.1445901,attraction
-8.6112308,41.1450577,information
-8.6286336,41.1497784,hostel
-8.6299658,41.1456647,hotel
-8.6114455,41.1484663,hotel
-8.6145891,41.1433413,information
-8.6145265,41.1434721,information
-8.6131003,41.1434286,information
-8.6113224,41.1431164,information
-8.613013,41.1431439,information
-8.6114226,41.1431739,information
-8.6130251,41.1431893,information
-8.6129772,41.1431943,information
-8.611345,41.1432334,information
-8.6113705,41.1430996,viewpoint
-8.611684,41.1431992,information
-8.6140647,41.1426981,information
-8.6140633,41.1426995,information
-8.6139499,41.1428074,information
-8.6148998,41.1427507,museum
-8.6157305,41.1403224,information
-8.6153311,41.140701,information
-8.6153302,41.1407465,artwork
-8.6160282,41.1409427,information
-8.6163577,41.1410119,museum
-8.6162617,41.1410547,information
-8.6153767,41.1412073,information
-8.6184271,41.1335411,picnic_site
-8.6124741,41.1438697,guest_house
-8.6122379,41.1440475,
-8.612093,41.1441695,information
-8.6120463,41.1435674,information
-8.612019,41.1441581,information
-8.6119953,41.1435279,information
-8.6119908,41.1435269,information
-8.6119647,41.1442687,information
-8.613548,41.1428355,information
-8.6130233,41.1423644,information
-8.6127389,41.1424451,information
-8.612658,41.1423784,information
-8.6126223,41.1424259,viewpoint
-8.6125743,41.1422336,museum
-8.6146395,41.1404405,information
-8.6145788,41.1407813,information
-8.6150142,41.1408045,attraction
-8.6148142,41.1410374,information
-8.6141675,41.1413548,hostel
-8.6149583,41.1413602,attraction
-8.6135438,41.1414926,information
-8.615018,41.1416949,information
-8.614739,41.1408391,information
-8.6122211,41.1422516,artwork
-8.6123009,41.1423183,artwork
-8.6124093,41.1423928,information
-8.6123657,41.1425246,information
-8.6121473,41.1425434,information
-8.6123033,41.1426924,information
-8.6122432,41.1427333,information
-8.6121218,41.1427353,information
-8.6123787,41.1428053,information
-8.6124154,41.1428057,hostel
-8.6121777,41.1429883,information
-8.6134118,41.1406411,hotel
-8.6133865,41.1403941,information
-8.6132225,41.1408842,information
-8.6132142,41.140891,information
-8.6131638,41.1406485,hotel
-8.6131578,41.1405067,
-8.6131091,41.1409237,information
-8.6131069,41.1409229,information
-8.6130399,41.1409326,artwork
-8.6130334,41.1403075,attraction
-8.6130073,41.1407608,artwork
-8.6128133,41.1406009,information
