lon,lat,cat
116.3052208,39.858654,chalet
116.2877718,39.9110489,hotel
116.2861729,39.9110502,hotel
116.2947555,39.9087702,hotel
116.2316142,39.8539348,attraction
116.2236103,39.8507042,viewpoint
116.2207769,39.8503658,museum
116.2229804,39.850585,artwork
116.2816065,39.8074106,attraction
116.2809266,39.8074302,attraction
116.2787303,39.8076185,attraction
116.2779086,39.8077014,attraction
116.2809962,39.8077296,attraction
116.2844542,39.8078321,attraction
116.2822452,39.807854,attraction
116.2819819,39.808404,attraction
116.284572,39.8084211,attraction
116.2783642,39.8084453,attraction
116.2815869,39.8084828,attraction
116.2778346,39.8084956,attraction
116.2822537,39.8085892,attraction
116.2810672,39.8085943,attraction
116.2813673,39.8087727,attraction
116.2802693,39.8087809,attraction
116.2778487,39.8088896,attraction
116.2836424,39.808949,attraction
116.280439,39.8092398,attraction
116.2823983,39.8093552,attraction
116.2814807,39.8094849,attraction
116.2788872,39.8095344,attraction
116.2800943,39.8097201,attraction
116.2805974,39.810246,attraction
116.2815168,39.8104267,attraction
116.2826867,39.8112746,attraction
116.273608,39.8138718,viewpoint
116.2813935,39.8199174,hotel
116.2824878,39.8191016,hotel
116.2015998,39.8275309,hotel
116.2198086,39.851009,museum
116.2164484,39.8495272,viewpoint
116.3343299,39.8878258,hotel
116.2126436,39.9036151,hotel
116.213435,39.9043745,hotel
116.2167435,39.9147496,viewpoint
116.3002763,39.9227285,attraction
116.2665558,39.7722701,viewpoint
116.2666792,39.774301,viewpoint
116.2774552,39.7743895,viewpoint
116.2801738,39.7746656,viewpoint
116.281574,39.7753749,viewpoint
116.2606849,39.7754911,viewpoint
116.2590371,39.7760928,viewpoint
116.2649548,39.7786407,viewpoint
116.2639637,39.7933497,viewpoint
116.1933608,39.9118885,museum
116.2844686,39.7728981,viewpoint
116.2890066,39.7729268,viewpoint
116.2898997,39.7741193,viewpoint
116.2829106,39.7751757,viewpoint
116.2927015,39.7767276,viewpoint
116.2929908,39.7796746,hotel
116.2654186,39.7699348,viewpoint
116.2731823,39.7684497,viewpoint
116.2767147,39.7701531,viewpoint
116.2832196,39.7706664,viewpoint
116.2852441,39.770389,viewpoint
116.3622,39.9248198,hostel
116.3649769,39.9259946,hostel
116.3656017,39.9104928,hotel
116.321079,39.7808529,artwork
116.3229229,39.7802042,artwork
116.3221605,39.7801096,artwork
116.3223121,39.7807402,artwork
116.3228917,39.7806132,artwork
116.3879891,39.8948753,hotel
116.388008,39.8948075,hotel
116.389268,39.8971635,hotel
116.3900444,39.8963954,attraction
116.3917816,39.896922,attraction
116.4109774,39.8975515,hotel
116.4105291,39.8977198,apartment
116.4030863,39.9012829,attraction
116.4044818,39.9013964,attraction
116.399874,39.9038636,attraction
116.402343,39.8957533,attraction
116.4065607,39.8977602,hotel
